,code,state,period,partisan
1,1,Alabama,20-Jan,R
2,1,Alabama,20-Feb,R
3,1,Alabama,20-Mar,R
4,1,Alabama,20-Apr,R
5,1,Alabama,20-May,R
6,1,Alabama,20-Jun,R
7,1,Alabama,20-Jul,R
8,1,Alabama,20-Aug,R
9,1,Alabama,20-Sep,R
10,1,Alabama,20-Oct,R
11,1,Alabama,20-Nov,R
12,1,Alabama,20-Dec,R
13,1,Alabama,21-Jan,R
14,1,Alabama,21-Feb,R
15,1,Alabama,21-Mar,R
16,1,Alabama,21-Apr,R
17,1,Alabama,21-May,R
18,1,Alabama,21-Jun,R
19,1,Alabama,21-Jul,R
20,1,Alabama,21-Aug,R
21,1,Alabama,21-Sep,R
22,1,Alabama,21-Oct,R
23,1,Alabama,21-Nov,R
24,1,Alabama,21-Dec,R
25,2,Alaska,20-Jan,R
26,2,Alaska,20-Feb,R
27,2,Alaska,20-Mar,R
28,2,Alaska,20-Apr,R
29,2,Alaska,20-May,R
30,2,Alaska,20-Jun,R
31,2,Alaska,20-Jul,R
32,2,Alaska,20-Aug,R
33,2,Alaska,20-Sep,R
34,2,Alaska,20-Oct,R
35,2,Alaska,20-Nov,R
36,2,Alaska,20-Dec,R
37,2,Alaska,21-Jan,R
38,2,Alaska,21-Feb,R
39,2,Alaska,21-Mar,R
40,2,Alaska,21-Apr,R
41,2,Alaska,21-May,R
42,2,Alaska,21-Jun,R
43,2,Alaska,21-Jul,R
44,2,Alaska,21-Aug,R
45,2,Alaska,21-Sep,R
46,2,Alaska,21-Oct,R
47,2,Alaska,21-Nov,R
48,2,Alaska,21-Dec,R
49,3,Arizona,20-Jan,R
50,3,Arizona,20-Feb,R
51,3,Arizona,20-Mar,R
52,3,Arizona,20-Apr,R
53,3,Arizona,20-May,R
54,3,Arizona,20-Jun,R
55,3,Arizona,20-Jul,R
56,3,Arizona,20-Aug,R
57,3,Arizona,20-Sep,R
58,3,Arizona,20-Oct,R
59,3,Arizona,20-Nov,R
60,3,Arizona,20-Dec,R
61,3,Arizona,21-Jan,R
62,3,Arizona,21-Feb,R
63,3,Arizona,21-Mar,R
64,3,Arizona,21-Apr,R
65,3,Arizona,21-May,R
66,3,Arizona,21-Jun,R
67,3,Arizona,21-Jul,R
68,3,Arizona,21-Aug,R
69,3,Arizona,21-Sep,R
70,3,Arizona,21-Oct,R
71,3,Arizona,21-Nov,R
72,3,Arizona,21-Dec,R
73,4,Arkansas,20-Jan,R
74,4,Arkansas,20-Feb,R
75,4,Arkansas,20-Mar,R
76,4,Arkansas,20-Apr,R
77,4,Arkansas,20-May,R
78,4,Arkansas,20-Jun,R
79,4,Arkansas,20-Jul,R
80,4,Arkansas,20-Aug,R
81,4,Arkansas,20-Sep,R
82,4,Arkansas,20-Oct,R
83,4,Arkansas,20-Nov,R
84,4,Arkansas,20-Dec,R
85,4,Arkansas,21-Jan,R
86,4,Arkansas,21-Feb,R
87,4,Arkansas,21-Mar,R
88,4,Arkansas,21-Apr,R
89,4,Arkansas,21-May,R
90,4,Arkansas,21-Jun,R
91,4,Arkansas,21-Jul,R
92,4,Arkansas,21-Aug,R
93,4,Arkansas,21-Sep,R
94,4,Arkansas,21-Oct,R
95,4,Arkansas,21-Nov,R
96,4,Arkansas,21-Dec,R
97,5,California,20-Jan,D
98,5,California,20-Feb,D
99,5,California,20-Mar,D
100,5,California,20-Apr,D
101,5,California,20-May,D
102,5,California,20-Jun,D
103,5,California,20-Jul,D
104,5,California,20-Aug,D
105,5,California,20-Sep,D
106,5,California,20-Oct,D
107,5,California,20-Nov,D
108,5,California,20-Dec,D
109,5,California,21-Jan,D
110,5,California,21-Feb,D
111,5,California,21-Mar,D
112,5,California,21-Apr,D
113,5,California,21-May,D
114,5,California,21-Jun,D
115,5,California,21-Jul,D
116,5,California,21-Aug,D
117,5,California,21-Sep,D
118,5,California,21-Oct,D
119,5,California,21-Nov,D
120,5,California,21-Dec,D
121,6,Colorado,20-Jan,D
122,6,Colorado,20-Feb,D
123,6,Colorado,20-Mar,D
124,6,Colorado,20-Apr,D
125,6,Colorado,20-May,D
126,6,Colorado,20-Jun,D
127,6,Colorado,20-Jul,D
128,6,Colorado,20-Aug,D
129,6,Colorado,20-Sep,D
130,6,Colorado,20-Oct,D
131,6,Colorado,20-Nov,D
132,6,Colorado,20-Dec,D
133,6,Colorado,21-Jan,D
134,6,Colorado,21-Feb,D
135,6,Colorado,21-Mar,D
136,6,Colorado,21-Apr,D
137,6,Colorado,21-May,D
138,6,Colorado,21-Jun,D
139,6,Colorado,21-Jul,D
140,6,Colorado,21-Aug,D
141,6,Colorado,21-Sep,D
142,6,Colorado,21-Oct,D
143,6,Colorado,21-Nov,D
144,6,Colorado,21-Dec,D
145,7,Connecticut,20-Jan,D
146,7,Connecticut,20-Feb,D
147,7,Connecticut,20-Mar,D
148,7,Connecticut,20-Apr,D
149,7,Connecticut,20-May,D
150,7,Connecticut,20-Jun,D
151,7,Connecticut,20-Jul,D
152,7,Connecticut,20-Aug,D
153,7,Connecticut,20-Sep,D
154,7,Connecticut,20-Oct,D
155,7,Connecticut,20-Nov,D
156,7,Connecticut,20-Dec,D
157,7,Connecticut,21-Jan,D
158,7,Connecticut,21-Feb,D
159,7,Connecticut,21-Mar,D
160,7,Connecticut,21-Apr,D
161,7,Connecticut,21-May,D
162,7,Connecticut,21-Jun,D
163,7,Connecticut,21-Jul,D
164,7,Connecticut,21-Aug,D
165,7,Connecticut,21-Sep,D
166,7,Connecticut,21-Oct,D
167,7,Connecticut,21-Nov,D
168,7,Connecticut,21-Dec,D
169,8,Delaware,20-Jan,D
170,8,Delaware,20-Feb,D
171,8,Delaware,20-Mar,D
172,8,Delaware,20-Apr,D
173,8,Delaware,20-May,D
174,8,Delaware,20-Jun,D
175,8,Delaware,20-Jul,D
176,8,Delaware,20-Aug,D
177,8,Delaware,20-Sep,D
178,8,Delaware,20-Oct,D
179,8,Delaware,20-Nov,D
180,8,Delaware,20-Dec,D
181,8,Delaware,21-Jan,D
182,8,Delaware,21-Feb,D
183,8,Delaware,21-Mar,D
184,8,Delaware,21-Apr,D
185,8,Delaware,21-May,D
186,8,Delaware,21-Jun,D
187,8,Delaware,21-Jul,D
188,8,Delaware,21-Aug,D
189,8,Delaware,21-Sep,D
190,8,Delaware,21-Oct,D
191,8,Delaware,21-Nov,D
