"","code","state","period","lforce","unemployed","urate","openings","jobrate","pop","stindex","C1","C2","C3","C4","C5","C6","C7","H1","f_lfp","educrate","lhshr","avgage","o_lfp","covid"
"1",1,"Alabama","20-Jan",2240277,59405,2.7,95000,0.041742242,5024803,"0","0","0","0","0","0","0","0","0","0.49906015037594","0.286502759658806","0.0680933852140078","41","0.591489361702128","0"
"2",1,"Alabama","20-Feb",2236491,58639,2.6,97000,0.042640137,5024803,"0","0","0","0","0","0","0","0","0","0.503231763619575","0.265012406947891","0.0847457627118644","42","0.613445378151261","0"
"3",1,"Alabama","20-Mar",2234170,57895,2.6,77000,0.034172482,5024803,"26.4477419354839","1.2258064516129","1.38709677419355","1.09677419354839","1.87096774193548","0.258064516129032","0.516129032258065","0","1.41935483870968","0.488683127572016","0.254945054945055","0.0881720430107527","42","0.602325581395349","36"
"4",1,"Alabama","20-Apr",2187272,288253,13.2,74000,0.037505974,5024803,"64.9836666666667","3","2.96666666666667","2","4","1","2","0","2","0.481441048034934","0.270131353512279","0.0677290836653386","45","0.631455399061033","4374.5"
"5",1,"Alabama","20-May",2218789,174680,7.9,94000,0.043964082,5024803,"52.8941935483871","3","2","2","2.58064516129032","1","2","0","2","0.504694835680751","0.271446078431373","0.0611464968152866","46","0.643564356435644","11807"
"6",1,"Alabama","20-Jun",2221436,171721,7.7,82000,0.038466681,5024803,"38.115","3","1.2","1.16666666666667","0","1","1.63333333333333","0","2","0.518648018648019","0.26302729528536","0.0596273291925466","45","0.648379052369077","26728"
"7",1,"Alabama","20-Jul",2221858,165510,7.4,106000,0.049020787,5024803,"36.11","3","1","1","0","1","1","0","2","0.531585220500596","0.270044900577293","0.0618686868686869","43","0.655172413793103","61960"
"8",1,"Alabama","20-Aug",2218586,156709,7.1,104000,0.048017501,5024803,"34.3190322580645","2.48387096774194","1.25806451612903","1","0","0.870967741935484","1","0","2","0.526254375729288","0.272329793878826","0.0625","44","0.655080213903743","107365"
"9",1,"Alabama","20-Sep",2212712,147334,6.7,102000,0.047061472,5024803,"30.0616666666667","2","1.23333333333333","1","0","0","1","0","2","0.515577889447236","0.278590785907859","0.0602150537634409","42","0.657142857142857","139530"
"10",1,"Alabama","20-Oct",2266300,107301,4.7,107000,0.047219791,5024803,"29.63","2","1","1","0","0","1","0","2","0.508893280632411","0.294209702660407","0.0655412115193644","41","0.598108747044917","170142"
"11",1,"Alabama","20-Nov",2263901,105558,4.7,92000,0.040882657,5024803,"29.63","2","1","1","0","0","1","0","2","0.505386875612145","0.288659793814433","0.0672601384767557","42","0.612975391498881","218007"
"12",1,"Alabama","20-Dec",2264054,106318,4.7,96000,0.042595938,5024803,"29.63","2","1","1","0","0","1","0","2","0.488933601609658","0.277546777546778","0.0753353973168215","42","0.583333333333333","306868"
"13",1,"Alabama","21-Jan",2257961,97725,4.3,106000,0.046773593,5039877,"30.8854838709677","2","1","1","0","0.451612903225806","1","0","2","0.490547263681592","0.25462962962963","0.0932798395185557","42","0.567264573991031","420661"
"14",1,"Alabama","21-Feb",2248764,91041,4,120000,0.052684194,5039877,"32.41","2","1","1","0","1","1","0","2","0.473429951690821","0.255179383527034","0.101507537688442","43","0.53862660944206","480796.5"
"15",1,"Alabama","21-Mar",2235958,84716,3.8,116000,0.051163484,5039877,"31.5132258064516","2","1","1","0","0.67741935483871","1","0","2","0.478606965174129","0.254422476586889","0.0863309352517986","42","0.561643835616438","508315"
"16",1,"Alabama","21-Apr",2231960,79319,3.6,137000,0.059834708,5039877,"18.5153333333333","1.13333333333333","0.266666666666667","0.266666666666667","0","0","0.266666666666667","0","2","0.504424778761062","0.26968605249614","0.0832517140058766","43","0.6289592760181","521300"
"17",1,"Alabama","21-May",2225722,75398,3.4,144000,0.062763585,5039877,"14.81","1","0","0","0","0","0","0","2","0.480952380952381","0.265671641791045","0.0726202158979392","43","0.632478632478632","539614"
"18",1,"Alabama","21-Jun",2212718,73769,3.3,142000,0.06225479,5039877,"11.11","0","0","0","0","0","0","0","2","0.483267716535433","0.257861635220126","0.0582010582010582","41.5","0.625","546200.5"
"19",1,"Alabama","21-Jul",2210686,71678,3.2,147000,0.064304237,5039877,"11.11","0","0","0","0","0","0","0","2","0.502463054187192","0.272012578616352","0.0690721649484536","42","0.600886917960089","556879"
"20",1,"Alabama","21-Aug",2207602,69014,3.1,147000,0.064316053,5039877,"11.11","0","0","0","0","0","0","0","2","0.492711370262391","0.274368231046931","0.0580580580580581","42","0.568232662192394","637915"
"21",1,"Alabama","21-Sep",2207728,68576,3.1,144000,0.063070702,5039877,"11.974","0.133333333333333","0","0","0","0","0","0","2","0.503611971104231","0.299722991689751","0.0717299578059072","42","0.560386473429952","759514.5"
"22",1,"Alabama","21-Oct",2212134,67860,3.1,162000,0.070243171,5039877,"17.59","1","0","0","0","0","0","0","2","0.491136600625652","0.312947658402204","0.064755838641189","43","0.571428571428571","810095"
"23",1,"Alabama","21-Nov",2218606,68710,3.1,146000,0.063591731,5039877,"16.8486666666667","1","0","0","0","0","0","0","2","0.474304068522484","0.298076923076923","0.0797814207650273","44","0.553658536585366","838488.5"
"24",1,"Alabama","21-Dec",2227172,69854,3.1,130000,0.056835123,5039877,"25.7306451612903","1","0.580645161290323","0.354838709677419","1.74193548387097","0","0.580645161290323","0.580645161290323","2","0.468108108108108","0.281144781144781","0.0668859649122807","44","0.562189054726368","855885"
"25",2,"Alaska","20-Jan",348829,18985,5.4,21000,0.059855662,732441,"4.30451612903226","0","0","0","0","0","0","0","0.774193548387097","0.586270871985158","0.314150943396226","0.0884476534296029","38","0.728571428571429","0"
"26",2,"Alaska","20-Feb",350406,18227,5.2,22000,0.062115484,732441,"9.96172413793103","0","0","0","0","0","0","0","1.79310344827586","0.592057761732852","0.298342541436464","0.0814558058925477","36","0.783251231527094","0"
"27",2,"Alaska","20-Mar",349989,21832,6.2,17000,0.049252949,732441,"39.3961290322581","1.54838709677419","1.35483870967742","1.09677419354839","1.90322580645161","0.451612903225806","0.645161290322581","0.258064516129032","2","0.585551330798479","0.292425695110259","0.0986460348162476","36","0.759162303664921","1"
"28",2,"Alaska","20-Apr",341223,42175,12.4,14000,0.044721576,732441,"83.054","3","2.76666666666667","2","3.76666666666667","1.93333333333333","1.53333333333333","1.76666666666667","2","0.559223300970874","0.288910505836576","0.0514541387024608","35","0.733695652173913","296.5"
"29",2,"Alaska","20-May",345972,41361,12,17000,0.052858889,732441,"61.1416129032258","3","0.903225806451613","1.12903225806452","2.90322580645161","2","0","1.64516129032258","2","0.588353413654618","0.295065458207452","0.0718816067653277","34","0.710982658959538","394"
"30",2,"Alaska","20-Jun",350478,39160,11.2,19000,0.057520329,732441,"39.2606666666667","3","0","0","2","0","0","1.13333333333333","2","0.617834394904459","0.298826040554963","0.0928270042194093","35","0.833333333333333","674.5"
"31",2,"Alaska","20-Jul",353072,35864,10.2,23000,0.0676057,732441,"42.2922580645161","3","0.258064516129032","0","2.25806451612903","0","0","1.54838709677419","2","0.61252446183953","0.312810327706058","0.0947955390334572","37","0.874371859296482","1694"
"32",2,"Alaska","20-Aug",339540,20973,6.2,19000,0.056285123,732441,"50.911935483871","3","1.90322580645161","0","3","0","0.935483870967742","2","2","0.61328125","0.295302013422819","0.105820105820106","35","0.933673469387755","4265"
"33",2,"Alaska","20-Sep",335688,21941,6.5,17000,0.051398803,732441,"47.69","3","1","0","3","0","1","2","2","0.625719769673704","0.2688995215311","0.0896309314586995","35","0.907608695652174","6419"
"34",2,"Alaska","20-Oct",352525,20793,5.9,16000,0.046012446,732441,"47.69","3","1","0","3","0","1","2","2","0.632734530938124","0.308070866141732","0.0663176265270506","36","0.891304347826087","10604"
"35",2,"Alaska","20-Nov",351025,21998,6.3,14000,0.040813114,732441,"47.69","3","1","0","3","0","1","2","2","0.639344262295082","0.29718875502008","0.0955882352941176","36","0.911949685534591","23137.5"
